property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,price,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
1,3,2,1,1,1,2,1,79,45,1,15,54,90.0,37.74873,-122.41545,17,0,0,1,0,1,1,1,0,0,0,0,0,0,1
1,2,2,1,1,1,4,1,125,50,1,20,1,100.0,37.74873,-122.41545,20,0,0,1,0,1,1,1,0,0,0,1,0,0,1
1,0,4,1,1,1,4,1,178,200,1,0,6,100.0,37.74873,-122.41545,35,0,0,0,1,0,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,79,45,1,0,260,96.0,37.74873,-122.41545,28,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,2,2,1,1,0,4,12,85,76,1,45,405,93.0,37.74873,-122.41545,27,0,0,0,0,1,1,0,0,0,0,1,0,0,1
8,0,2,1,1,2,4,12,150,50,1,0,264,97.0,37.74873,-122.41545,22,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,1,1,0,4,14,95,50,2,20,21,92.0,37.74873,-122.41545,19,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,2,3,1,1,2,4,12,120,30,1,10,658,98.0,37.74873,-122.41545,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,2,2,1,1,1,4,12,120,30,1,10,665,98.0,37.74873,-122.41545,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
13,0,3,1,1,1,4,12,399,100,1,50,47,97.0,37.74873,-122.41545,33,0,0,0,1,0,1,1,1,0,0,1,1,1,1
7,2,2,1,1,1,4,12,85,40,1,30,105,95.0,37.74873,-122.41545,30,0,1,0,1,1,1,1,1,0,0,0,0,1,1
6,2,2,1,1,1,4,12,300,50,1,0,397,97.0,37.74873,-122.41545,33,0,1,0,0,1,1,1,1,0,0,1,1,0,1
17,2,3,1,1,1,4,12,160,55,1,30,160,98.0,37.74873,-122.41545,51,1,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,6,1,1,4,4,5,120,150,2,15,251,92.0,37.74873,-122.41545,50,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,0,4,1,1,2,4,1,135,100,3,15,84,93.0,37.74873,-122.41545,20,0,0,0,1,1,1,1,0,0,0,1,1,1,1
1,0,2,1,1,1,4,1,95,200,1,0,245,99.0,37.74873,-122.41545,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
6,2,1,1,1,1,4,12,168,70,1,75,135,100.0,37.74873,-122.41545,58,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,135,25,1,0,7,97.0,37.74873,-122.41545,12,0,0,0,1,1,1,1,0,0,0,0,1,1,1
11,2,2,6,1,1,4,12,110,60,1,0,4,73.0,37.74873,-122.41545,28,0,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,3,1,1,1,4,1,175,70,1,0,139,97.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,2,2,1,1,2,4,12,85,0,1,35,159,97.0,37.74873,-122.41545,32,0,1,0,1,1,0,1,1,0,0,1,0,1,1
1,2,2,0,1,1,4,12,250,90,1,50,78,97.0,37.74873,-122.41545,37,1,0,1,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,200,20,1,0,292,97.0,37.74873,-122.41545,24,0,1,0,0,1,1,1,0,0,0,1,1,0,0
1,0,2,1,1,1,4,1,140,60,2,0,91,86.0,37.74873,-122.41545,30,0,0,0,0,1,1,1,1,0,0,0,1,0,1
8,0,3,1,1,2,4,12,180,45,1,25,109,97.0,37.74873,-122.41545,47,0,0,0,0,1,1,0,1,0,0,1,1,0,1
1,0,2,1,1,2,4,12,100,80,1,0,49,96.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,150,55,1,20,31,94.0,37.74873,-122.41545,14,0,0,0,1,1,1,1,0,0,0,1,0,1,1
8,2,3,1,1,2,4,1,143,50,2,30,189,96.0,37.74873,-122.41545,32,0,0,0,1,1,1,0,1,0,0,1,1,1,1
6,2,2,1,1,1,4,12,148,60,1,15,96,97.0,37.74873,-122.41545,39,0,0,1,1,1,1,1,1,0,0,0,0,1,1
8,0,2,1,1,1,4,1,105,100,2,50,136,99.0,37.74873,-122.41545,37,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,3,1,1,2,4,12,119,70,2,25,311,98.0,37.74873,-122.41545,42,1,1,0,1,1,0,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,12,145,129,2,0,305,95.0,37.74873,-122.41545,32,0,0,0,1,1,0,0,1,0,0,1,1,1,1
13,0,2,1,1,1,4,12,142,99,1,0,13,91.0,37.74873,-122.41545,18,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,2,1,1,1,4,1,95,150,1,15,8,93.0,37.74873,-122.41545,28,0,0,0,1,1,0,1,0,0,0,1,1,1,1
8,0,6,1,1,3,4,1,167,70,2,40,327,92.0,37.74873,-122.41545,51,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,145,29,1,0,363,100.0,37.74873,-122.41545,36,0,0,0,1,1,1,1,1,0,0,0,0,1,1
1,0,2,1,1,1,4,1,165,80,2,25,58,99.0,37.74873,-122.41545,17,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,1,125,90,2,50,140,100.0,37.74873,-122.41545,47,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,0,3,1,1,2,4,12,199,75,2,25,160,97.0,37.74873,-122.41545,33,0,0,0,0,1,1,0,1,0,0,1,1,0,1
12,2,2,1,1,1,4,12,140,50,2,0,235,98.0,37.74873,-122.41545,27,0,0,0,1,1,1,0,1,0,0,0,1,0,1
6,2,1,1,1,1,4,12,120,70,1,0,24,99.0,37.74873,-122.41545,28,0,1,0,0,1,1,1,1,0,0,0,0,1,1
12,2,2,2,1,1,4,12,115,50,1,0,204,96.0,37.74873,-122.41545,30,0,0,0,1,1,0,0,1,0,0,1,0,1,1
8,0,2,1,1,1,4,1,155,80,1,15,135,99.0,37.74873,-122.41545,31,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,1,1,1,0,4,12,170,70,1,0,28,100.0,37.74873,-122.41545,23,0,0,1,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,12,150,100,1,0,14,100.0,37.74873,-122.41545,34,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,4,1,1,1,4,12,800,100,4,100,8,100.0,37.74873,-122.41545,20,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,2,4,1,1,2,2,12,150,100,2,15,180,92.0,37.74873,-122.41545,26,0,0,1,0,1,1,1,1,0,0,0,1,0,1
1,2,3,1,1,2,4,12,135,70,2,35,118,98.0,37.74873,-122.41545,21,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,1,1,1,1,4,12,160,80,1,0,19,95.0,37.74873,-122.41545,24,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,100,30,1,15,85,100.0,37.74873,-122.41545,35,0,0,0,1,1,0,1,0,0,0,1,1,1,1
13,0,2,1,1,1,4,12,169,80,1,0,225,99.0,37.74873,-122.41545,32,0,0,1,1,1,1,1,1,0,0,0,0,1,1
1,2,2,1,1,1,4,1,95,40,1,0,103,96.0,37.74873,-122.41545,25,0,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,3,1,1,1,4,1,99,299,2,25,24,88.0,37.74873,-122.41545,41,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,140,70,2,20,185,97.0,37.74873,-122.41545,54,0,0,0,1,1,0,0,1,0,0,1,1,1,1
17,0,3,1,1,1,4,12,160,100,2,39,23,84.0,37.74873,-122.41545,19,0,1,0,1,1,1,1,0,0,0,1,0,1,1
8,0,2,1,1,1,4,12,149,60,1,20,146,89.0,37.74873,-122.41545,27,0,0,0,1,1,0,1,1,0,0,1,0,1,1
1,2,2,1,1,1,2,12,85,0,1,20,130,98.0,37.74873,-122.41545,31,0,1,0,1,1,0,1,1,0,0,1,0,1,1
1,0,3,1,1,1,4,1,150,75,2,20,123,98.0,37.74873,-122.41545,17,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,105,30,1,0,407,98.0,37.74873,-122.41545,30,0,1,0,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,1,110,45,1,0,169,92.0,37.74873,-122.41545,15,0,0,0,0,0,1,1,0,0,0,0,1,0,1
6,2,1,1,1,1,4,12,105,65,1,0,111,98.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,2,2,1,1,4,1,250,100,1,0,8,100.0,37.74873,-122.41545,17,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,0,2,1,1,1,4,1,125,60,1,0,258,96.0,37.74873,-122.41545,35,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,12,105,50,2,15,77,97.0,37.74873,-122.41545,29,0,0,0,0,1,1,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,164,75,2,300,404,98.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,105,40,1,0,152,99.0,37.74873,-122.41545,38,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,94,40,1,30,62,98.0,37.74873,-122.41545,21,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,184,80,1,0,17,99.0,37.74873,-122.41545,18,0,0,0,1,1,1,1,0,0,0,0,1,1,1
17,0,2,2,1,1,4,12,195,125,2,75,36,96.0,37.74873,-122.41545,37,0,0,1,1,1,1,1,0,0,0,1,1,1,1
1,0,1,1,1,1,4,1,125,100,2,25,5,100.0,37.74873,-122.41545,25,0,0,0,1,1,0,1,0,0,0,1,1,1,1
12,2,1,1,1,1,4,12,125,75,1,0,28,99.0,37.74873,-122.41545,24,0,0,1,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,12,165,50,1,0,187,100.0,37.74873,-122.41545,32,1,1,0,1,1,1,1,1,0,0,0,0,1,1
6,2,2,1,1,1,4,12,155,95,1,10,81,98.0,37.74873,-122.41545,55,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,79,40,1,25,263,96.0,37.74873,-122.41545,34,0,0,0,0,1,1,1,1,0,0,1,0,0,1
8,0,2,1,1,1,4,1,100,45,1,0,163,99.0,37.74873,-122.41545,35,0,1,1,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,2,4,12,155,125,1,0,39,93.0,37.74873,-122.41545,25,1,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,119,50,1,20,132,98.0,37.74873,-122.41545,30,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,72,50,1,20,164,96.0,37.74873,-122.41545,33,0,0,0,0,1,1,1,0,0,0,1,0,0,1
1,2,2,1,1,2,4,12,95,0,1,20,138,98.0,37.74873,-122.41545,30,0,1,0,1,1,0,1,1,0,0,1,0,1,1
6,2,1,1,1,1,4,1,90,20,1,0,8,93.0,37.74873,-122.41545,14,0,0,1,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,12,120,50,1,25,290,97.0,37.74873,-122.41545,32,0,0,1,0,1,0,0,0,0,0,0,1,0,1
12,2,1,1,1,1,4,1,129,50,1,0,127,99.0,37.74873,-122.41545,45,0,1,0,1,1,1,1,1,0,0,1,0,1,1
12,2,3,2,1,2,4,1,139,60,2,40,278,98.0,37.74873,-122.41545,49,0,1,0,1,1,1,1,1,0,0,1,0,1,1
12,2,3,2,1,2,4,1,139,60,2,40,180,98.0,37.74873,-122.41545,47,0,1,0,1,1,1,1,1,0,0,1,0,1,1
1,0,4,1,1,1,4,12,120,120,2,15,150,94.0,37.74873,-122.41545,28,0,0,1,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,1,150,80,1,15,21,99.0,37.74873,-122.41545,32,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,2,1,1,1,4,12,195,100,1,0,24,98.0,37.74873,-122.41545,18,0,0,0,1,0,1,1,0,0,0,1,1,1,1
12,2,4,1,1,1,4,12,159,50,2,20,39,90.0,37.74873,-122.41545,16,0,0,1,0,1,1,0,0,0,0,1,1,0,1
12,0,3,1,1,1,4,12,175,150,2,50,28,99.0,37.74873,-122.41545,24,0,0,0,1,0,1,1,0,0,0,1,1,1,1
8,0,5,1,1,2,4,12,175,75,2,35,344,99.0,37.74873,-122.41545,35,0,0,0,1,1,1,0,1,0,0,1,1,1,1
1,0,3,1,1,2,4,12,290,90,2,25,101,97.0,37.74873,-122.41545,44,0,1,0,1,1,1,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,150,150,2,0,223,98.0,37.74873,-122.41545,40,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,1,1,1,1,4,12,88,60,1,50,47,97.0,37.74873,-122.41545,50,1,0,0,1,1,1,1,1,0,0,0,1,1,1
12,0,3,1,1,2,4,1,150,150,1,15,29,99.0,37.74873,-122.41545,23,0,0,0,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,64,0,1,0,4,100.0,37.74873,-122.41545,41,1,0,1,1,1,1,1,0,0,0,1,1,1,1
6,2,1,1,1,1,4,12,121,70,1,0,114,100.0,37.74873,-122.41545,37,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,160,360,1,100,31,96.0,37.74873,-122.41545,26,0,0,0,1,1,1,1,0,0,0,1,0,1,1
6,0,2,2,1,1,4,12,350,100,2,25,57,99.0,37.74873,-122.41545,19,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,90,45,1,0,106,94.0,37.74873,-122.41545,38,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,3,1,2,1,1,4,12,55,0,1,0,255,96.0,37.74873,-122.41545,36,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,33,0,1,0,177,96.0,37.74873,-122.41545,27,1,0,1,1,1,1,1,0,0,0,1,0,1,1
12,3,1,2,1,1,4,12,55,0,1,0,256,97.0,37.74873,-122.41545,31,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,33,0,1,0,163,93.0,37.74873,-122.41545,26,0,0,1,1,1,1,1,0,0,0,1,0,1,1
12,2,3,1,1,2,4,12,89,60,2,40,124,95.0,37.74873,-122.41545,20,0,0,1,1,0,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,2,1,123,49,2,15,132,98.0,37.74873,-122.41545,26,0,0,0,0,1,1,1,1,0,0,0,0,0,1
12,2,2,1,1,1,4,12,125,45,1,0,77,98.0,37.74873,-122.41545,17,0,0,0,1,1,1,1,0,0,0,0,1,1,1
12,0,2,1,1,1,4,12,270,100,1,0,15,99.0,37.74873,-122.41545,34,0,0,0,1,1,1,1,1,0,0,1,1,1,1
17,2,2,1,1,1,4,1,80,30,1,25,173,94.0,37.74873,-122.41545,31,0,1,0,1,1,1,1,0,0,0,0,1,1,1
8,2,3,1,1,2,4,1,150,50,1,0,6,83.0,37.74873,-122.41545,29,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,0,2,1,1,1,4,1,230,80,1,0,77,97.0,37.74873,-122.41545,25,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,0,2,1,1,1,4,12,125,50,1,0,13,97.0,37.74873,-122.41545,26,0,1,1,1,1,1,1,0,0,0,1,1,1,1
1,2,2,1,1,1,4,12,199,50,1,0,149,99.0,37.74873,-122.41545,59,0,0,1,1,1,0,1,1,0,0,0,1,1,1
1,2,4,1,1,4,4,12,89,59,1,35,109,96.0,37.74873,-122.41545,16,0,0,0,0,1,1,1,0,0,0,0,0,0,1
13,2,2,1,1,2,4,12,89,59,1,25,117,94.0,37.74873,-122.41545,20,0,0,0,0,1,1,1,0,0,0,1,1,0,1
12,2,2,1,1,1,4,1,135,55,3,0,67,97.0,37.74873,-122.41545,25,0,0,0,0,1,1,1,0,0,0,0,0,0,1
1,2,2,1,1,1,4,12,50,75,1,0,2,100.0,37.74873,-122.41545,6,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,1,135,40,2,0,179,100.0,37.74873,-122.41545,29,0,0,1,0,1,1,0,0,0,0,0,1,0,1
12,2,1,1,1,1,4,12,95,25,1,25,253,100.0,37.74873,-122.41545,41,0,0,0,1,1,1,1,1,0,0,1,0,1,1
17,2,2,1,1,1,4,12,160,55,1,30,122,99.0,37.74873,-122.41545,48,0,0,0,1,1,1,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,110,50,1,25,49,94.0,37.74873,-122.41545,37,0,0,0,1,1,1,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,105,0,1,20,133,97.0,37.74873,-122.41545,18,0,0,0,0,1,0,0,0,0,0,0,1,0,1
12,0,3,1,1,2,4,1,159,80,3,50,50,97.0,37.74873,-122.41545,18,0,0,0,0,1,1,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,12,90,85,2,0,96,98.0,37.74873,-122.41545,22,0,1,0,0,1,0,0,0,0,0,1,0,0,1
6,0,4,1,1,4,4,12,150,80,1,0,50,96.0,37.74873,-122.41545,26,0,1,0,1,1,0,1,0,0,0,1,1,1,1
6,2,1,1,1,1,4,14,115,35,1,0,62,100.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,4,1,1,1,4,12,295,50,2,20,160,98.0,37.74873,-122.41545,71,0,0,0,1,1,1,1,1,1,0,1,1,1,1
12,0,2,1,1,1,4,1,155,80,2,10,98,96.0,37.74873,-122.41545,40,0,0,0,0,1,1,0,1,0,0,1,1,0,1
12,0,3,2,1,1,4,1,170,150,2,25,6,93.0,37.74873,-122.41545,29,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,4,1,1,3,4,1,218,250,2,0,2,100.0,37.74873,-122.41545,28,0,0,0,1,1,1,1,1,0,0,0,1,1,1
12,2,3,1,1,1,4,1,130,125,2,25,5,100.0,37.74873,-122.41545,10,0,0,1,0,1,0,0,0,0,0,0,1,0,1
12,0,2,1,1,1,4,12,400,200,1,0,12,96.0,37.74873,-122.41545,24,0,0,0,1,1,1,1,0,0,0,1,1,1,1
1,0,2,1,1,1,4,12,185,95,2,25,38,99.0,37.74873,-122.41545,29,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,2,2,1,1,2,4,1,95,70,2,5,128,98.0,37.74873,-122.41545,33,0,0,0,1,1,1,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,12,173,80,2,35,123,100.0,37.74873,-122.41545,38,0,1,1,1,1,1,1,0,0,0,1,1,1,1
12,2,2,2,1,1,4,12,99,70,1,0,266,98.0,37.74873,-122.41545,55,1,1,0,1,1,0,1,1,0,0,1,1,1,1
8,2,2,1,1,1,4,1,140,90,2,0,116,94.0,37.74873,-122.41545,47,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,2,3,1,1,2,4,12,89,60,2,40,121,95.0,37.74873,-122.41545,25,0,0,1,1,1,1,1,0,0,0,0,0,1,1
