property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,rental,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
8,0,2,1,1,1,4,12,85,1,0,145,97.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,3,1,2,1,1,4,12,0,1,0,210,96.0,37.74873,-122.41545,5850.0,35,0,0,1,1,1,1,1,1,0,0,1,0,1,1
12,3,1,2,1,1,4,12,0,1,0,221,96.0,37.74873,-122.41545,5850.0,34,0,0,1,1,1,1,1,1,0,0,1,0,1,1
12,3,1,2,1,1,4,12,0,1,0,206,95.0,37.74873,-122.41545,5850.0,34,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,0,1,0,134,97.0,37.74873,-122.41545,5850.0,25,1,0,1,1,1,1,1,0,0,0,1,0,1,1
1,0,2,1,1,1,0,1,75,1,50,34,99.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,1,1,0,0,0,0,0,0,1
17,2,3,1,1,2,4,12,49,2,50,274,98.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,1,1,0,0,0,1,0,1,1
1,2,4,1,1,1,4,12,65,4,50,106,95.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
17,2,2,1,1,1,4,1,71,2,52,278,96.0,37.74873,-122.41545,5850.0,43,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,12,30,2,25,217,100.0,37.74873,-122.41545,5850.0,22,0,0,0,0,1,1,0,0,0,0,0,1,0,1
12,2,2,1,1,1,4,12,100,1,35,76,99.0,37.74873,-122.41545,5850.0,41,0,1,1,1,1,1,1,1,0,0,1,0,1,1
12,2,1,1,1,1,2,12,0,1,300,141,95.0,37.74873,-122.41545,5850.0,60,0,1,0,1,1,0,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,85,1,25,14,99.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,50,1,40,13,100.0,37.74873,-122.41545,5850.0,18,0,1,0,1,1,1,1,0,0,0,0,0,1,1
1,2,3,1,1,1,4,12,89,2,75,66,98.0,37.74873,-122.41545,5850.0,25,0,0,0,1,1,1,1,0,0,0,1,0,1,1
9,0,2,1,1,1,4,12,0,2,10,2,100.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,2,2,1,1,2,4,1,30,1,0,253,91.0,37.74873,-122.41545,5850.0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,1
12,2,2,1,1,1,4,1,75,1,30,16,99.0,37.74873,-122.41545,5850.0,44,0,0,1,0,1,1,1,1,0,0,1,0,0,1
1,2,1,1,1,1,4,12,50,1,0,89,97.0,37.74873,-122.41545,5850.0,20,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,2,1,1,1,1,4,12,0,1,0,75,99.0,37.74873,-122.41545,5850.0,37,0,1,0,1,1,1,1,1,0,0,1,0,1,1
1,0,5,1,1,1,4,12,119,2,50,16,96.0,37.74873,-122.41545,5850.0,24,0,0,0,1,1,1,1,0,0,0,1,0,1,1
6,2,2,1,1,1,4,1,50,1,0,132,98.0,37.74873,-122.41545,5850.0,16,0,0,0,1,1,1,0,0,0,0,1,0,1,1
8,0,3,1,1,2,4,1,100,1,0,8,88.0,37.74873,-122.41545,5850.0,28,0,0,0,1,0,0,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,50,1,0,73,99.0,37.74873,-122.41545,5850.0,19,0,1,1,0,1,1,0,0,0,0,1,0,0,1
1,0,2,1,1,1,4,14,0,1,0,5,100.0,37.74873,-122.41545,5850.0,32,0,0,0,0,1,1,1,0,0,0,1,1,0,1
1,0,1,1,1,1,4,12,120,1,20,64,94.0,37.74873,-122.41545,5850.0,15,0,0,0,0,1,1,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,1,75,1,0,58,97.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,80,1,0,61,96.0,37.74873,-122.41545,5850.0,25,0,0,1,0,1,1,0,0,0,0,0,1,0,1
12,2,3,1,1,2,4,1,40,1,20,49,98.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,0,1,0,0,0,1,1,1
12,2,3,1,1,1,4,12,60,2,25,178,97.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,0,0,0,0,0,0,1,1,1
6,0,2,1,1,1,4,12,75,1,0,32,99.0,37.74873,-122.41545,5850.0,57,0,0,0,1,1,1,1,1,1,0,1,1,1,1
8,0,4,1,1,2,4,1,75,1,0,129,98.0,37.74873,-122.41545,5850.0,43,0,0,0,0,1,1,1,1,0,0,1,1,0,1
12,0,2,1,1,1,4,12,99,1,0,129,95.0,37.74873,-122.41545,5850.0,29,0,0,0,0,1,1,1,1,0,0,0,1,0,1
1,0,2,1,1,1,4,12,99,1,0,9,93.0,37.74873,-122.41545,5850.0,21,0,0,0,1,1,0,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,1,70,1,0,58,99.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,1,1,0,0,0,1,1,0,1
12,0,2,1,1,2,4,1,125,2,15,9,98.0,37.74873,-122.41545,5850.0,22,1,0,0,1,1,1,1,0,0,0,0,1,1,1
6,2,2,1,1,1,4,1,50,1,0,53,100.0,37.74873,-122.41545,5850.0,42,0,0,0,0,1,1,1,0,0,0,1,1,0,1
1,0,2,1,1,1,4,1,90,2,50,21,86.0,37.74873,-122.41545,5850.0,14,0,0,0,0,1,1,1,0,0,0,0,0,0,1
6,2,2,1,1,1,4,12,60,1,35,105,100.0,37.74873,-122.41545,5850.0,48,0,0,0,1,1,0,1,1,0,0,0,1,1,1
9,0,2,1,1,1,4,1,50,1,0,281,99.0,37.74873,-122.41545,5850.0,32,0,1,1,0,1,0,1,1,0,0,1,1,0,1
1,0,1,1,1,1,4,1,150,1,10,17,96.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,0,1,1,0,0,0,0,1,1
12,2,2,1,1,1,4,12,50,1,20,99,98.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,1,1,0,0,0,1,0,1,1
12,2,2,1,1,1,4,12,50,1,25,68,96.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,2,1,1,1,4,12,140,1,0,6,96.0,37.74873,-122.41545,5850.0,27,0,0,0,0,1,1,1,1,0,0,0,1,0,1
17,2,2,1,1,1,4,12,40,1,0,48,100.0,37.74873,-122.41545,5850.0,39,0,0,0,1,1,1,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,30,1,0,54,99.0,37.74873,-122.41545,5850.0,22,0,0,1,1,1,1,0,0,0,0,1,0,1,1
1,0,3,1,1,1,4,12,95,1,0,2,70.0,37.74873,-122.41545,5850.0,25,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,35,1,40,40,99.0,37.74873,-122.41545,5850.0,38,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,2,1,1,1,4,12,65,1,0,146,97.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,1,0,1,0,0,0,1,0,1
8,0,4,1,1,1,3,12,100,2,25,148,98.0,37.74873,-122.41545,5850.0,30,0,0,1,1,1,0,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,50,1,0,175,99.0,37.74873,-122.41545,5850.0,40,0,1,1,1,1,0,1,0,0,0,1,1,1,1
8,2,2,1,1,1,4,1,50,1,0,127,98.0,37.74873,-122.41545,5850.0,30,0,1,1,0,1,1,0,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,100,2,15,151,99.0,37.74873,-122.41545,5850.0,57,0,1,0,1,1,0,1,1,0,0,0,1,1,1
1,0,2,1,1,1,4,1,100,1,0,85,99.0,37.74873,-122.41545,5850.0,33,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,74,1,0,90,99.0,37.74873,-122.41545,5850.0,23,0,0,0,0,1,0,0,0,0,0,1,1,0,1
12,2,2,2,1,1,4,1,40,1,0,179,99.0,37.74873,-122.41545,5850.0,41,0,1,1,1,1,1,1,0,0,0,1,1,1,1
12,2,2,2,1,1,4,1,40,1,0,156,99.0,37.74873,-122.41545,5850.0,38,0,1,1,1,1,1,1,0,0,0,1,1,1,1
8,0,4,1,1,2,4,1,50,2,25,164,98.0,37.74873,-122.41545,5850.0,48,0,0,0,1,1,0,1,1,0,0,0,1,1,1
17,2,4,1,1,2,4,12,100,2,50,20,98.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,0,2,1,1,1,4,12,75,1,0,40,99.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,0,3,1,1,2,3,1,50,2,25,239,98.0,37.74873,-122.41545,5850.0,35,0,0,1,0,1,1,0,1,0,0,1,1,0,1
1,2,2,1,1,1,4,12,10,1,0,7,91.0,37.74873,-122.41545,5850.0,11,0,0,0,1,1,0,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,1,40,1,20,43,99.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,0,1,1,0,0,0,0,1,1
1,2,3,1,1,2,4,14,29,2,17,8,90.0,37.74873,-122.41545,5850.0,9,0,0,0,1,0,1,1,0,0,0,0,0,1,1
6,2,2,1,1,1,4,1,50,1,0,137,97.0,37.74873,-122.41545,5850.0,30,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,2,1,1,1,1,4,12,50,1,40,5,96.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,0,1,1,0,0,0,0,1,1
8,2,1,1,1,1,4,12,0,1,0,1,100.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,50,1,40,3,93.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,0,1,1,0,0,0,0,1,1
1,0,3,1,1,1,4,12,239,1,0,14,100.0,37.74873,-122.41545,5850.0,38,0,0,1,0,1,0,1,1,0,0,0,1,0,1
6,2,2,1,1,1,4,1,25,1,20,27,96.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,3,1,1,1,4,12,95,1,0,2,100.0,37.74873,-122.41545,5850.0,22,0,0,0,0,1,1,1,1,0,0,0,1,0,1
1,2,2,1,1,1,4,12,39,1,0,14,100.0,37.74873,-122.41545,5850.0,21,0,1,0,1,1,1,0,0,0,0,0,0,1,1
1,2,1,1,1,1,4,12,40,1,0,255,99.0,37.74873,-122.41545,5850.0,22,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,2,2,1,1,1,4,1,25,1,15,67,99.0,37.74873,-122.41545,5850.0,22,0,0,0,1,1,0,0,0,0,0,1,0,1,1
1,0,2,1,1,1,4,12,100,1,5,5,100.0,37.74873,-122.41545,5850.0,36,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,2,1,1,1,4,12,100,2,0,153,99.0,37.74873,-122.41545,5850.0,54,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1,0,2,1,1,1,4,12,80,1,0,27,100.0,37.74873,-122.41545,5850.0,36,0,0,0,1,1,1,1,1,0,0,1,1,1,1
9,0,2,1,1,1,4,1,100,1,0,30,99.0,37.74873,-122.41545,5850.0,24,0,0,0,0,1,0,1,1,0,0,0,1,0,1
6,2,2,1,1,1,4,12,40,2,0,333,99.0,37.74873,-122.41545,5850.0,41,0,0,1,1,1,1,1,1,0,0,1,1,1,1
1,0,3,1,1,1,4,12,200,1,0,6,83.0,37.74873,-122.41545,5850.0,19,0,0,0,1,1,0,1,0,0,0,0,1,1,1
8,2,2,1,1,1,4,12,75,2,50,170,95.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,2,2,1,1,1,4,12,40,1,20,63,98.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,0,1,1,0,0,1,0,1,1
17,2,2,1,1,1,4,1,71,2,52,242,95.0,37.74873,-122.41545,5850.0,43,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,15,1,0,146,99.0,37.74873,-122.41545,5850.0,34,0,0,0,0,1,0,0,0,0,0,1,1,0,1
6,2,2,1,1,1,4,12,50,1,0,40,99.0,37.74873,-122.41545,5850.0,24,0,1,0,1,1,1,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,12,75,1,20,3,100.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,0,1,0,0,0,0,1,1,1
6,0,2,1,1,1,4,1,65,3,0,217,99.0,37.74873,-122.41545,5850.0,34,0,1,0,0,1,1,1,1,0,0,0,1,0,1
12,2,2,1,1,1,4,1,95,1,0,4,90.0,37.74873,-122.41545,5850.0,18,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,90,1,0,37,99.0,37.74873,-122.41545,5850.0,17,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,3,1,1,1,4,12,200,1,0,9,100.0,37.74873,-122.41545,5850.0,22,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,65,1,40,28,96.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,0,1,1,0,0,0,0,1,1
12,2,2,2,1,1,4,12,10,1,20,104,87.0,37.74873,-122.41545,5850.0,33,0,0,0,1,0,0,1,1,0,0,1,0,1,1
12,2,2,2,1,1,4,12,10,1,20,156,84.0,37.74873,-122.41545,5850.0,33,0,0,0,1,0,0,1,1,0,0,1,0,1,1
12,2,3,2,1,2,4,12,10,1,20,166,84.0,37.74873,-122.41545,5850.0,34,0,0,0,1,0,0,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,75,2,200,151,99.0,37.74873,-122.41545,5850.0,41,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,2,1,1,1,1,4,1,50,1,25,2,90.0,37.74873,-122.41545,5850.0,15,0,0,0,1,1,1,1,0,0,0,0,0,1,1
6,2,2,1,1,1,4,12,50,2,15,23,100.0,37.74873,-122.41545,5850.0,31,1,0,1,0,1,1,1,1,0,0,1,1,0,1
1,2,2,1,1,1,4,1,25,1,0,148,98.0,37.74873,-122.41545,5850.0,27,0,0,0,0,1,0,0,1,0,0,0,1,0,1
4,0,2,1,1,2,4,1,160,2,50,3,100.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,0,1,0,0,0,1,1,1,1
1,2,1,1,1,1,4,12,35,1,30,50,97.0,37.74873,-122.41545,5850.0,22,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0,2,1,1,1,4,12,60,2,0,5,100.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,2,2,1,1,1,4,1,20,1,0,334,99.0,37.74873,-122.41545,5850.0,22,0,0,0,0,1,0,0,1,0,0,1,1,0,1
8,2,2,1,1,1,4,1,45,1,0,79,99.0,37.74873,-122.41545,5850.0,19,0,0,0,0,1,1,0,0,0,0,1,1,0,1
8,0,2,1,1,1,4,1,60,2,0,171,96.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,0,1,1,0,0,1,0,1,1
1,0,2,1,1,0,4,12,300,1,0,3,93.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,40,1,0,23,99.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,0,1,0,0,0,1,0,1,1
12,0,2,1,1,1,4,1,99,1,0,2,70.0,37.74873,-122.41545,5850.0,17,0,0,0,1,0,0,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,12,40,1,0,169,98.0,37.74873,-122.41545,5850.0,45,0,0,0,1,1,1,1,1,0,0,1,1,1,1
6,2,2,1,1,0,4,12,150,2,25,20,97.0,37.74873,-122.41545,5850.0,30,0,0,0,1,1,1,1,1,0,0,1,1,1,1
6,2,4,1,1,2,4,12,150,2,25,40,97.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,2,4,1,1,3,4,1,25,1,5,74,95.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,1,1,1,4,12,60,1,40,44,97.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,0,1,1,0,0,0,0,1,1
2,1,2,1,1,1,4,12,25,1,0,144,99.0,37.74873,-122.41545,5850.0,28,1,0,0,0,1,0,0,1,0,0,0,0,0,1
9,0,1,1,1,1,4,12,50,1,25,98,95.0,37.74873,-122.41545,5850.0,35,0,1,1,1,1,0,0,0,0,0,1,1,1,1
8,0,2,1,1,1,4,1,75,2,40,199,99.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,0,2,1,1,1,4,12,99,1,0,8,94.0,37.74873,-122.41545,5850.0,16,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,50,1,0,35,99.0,37.74873,-122.41545,5850.0,38,0,0,1,1,1,0,1,0,0,0,1,0,1,1
1,0,2,1,1,1,4,1,75,1,0,18,96.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,1,2,1,1,4,12,50,1,0,131,99.0,37.74873,-122.41545,5850.0,39,0,0,1,1,1,0,1,1,0,0,1,1,1,1
1,0,4,2,1,1,4,1,135,1,0,17,100.0,37.74873,-122.41545,5850.0,24,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,2,2,1,1,4,12,0,1,0,88,100.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,0,1,1,0,0,0,0,1,1
12,0,3,1,1,1,4,12,180,2,0,4,100.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,0,1,1,0,0,0,1,1,1
6,2,2,1,1,1,4,1,50,1,0,32,96.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,1,1,0,0,0,1,1,1
8,0,4,1,1,1,4,1,95,2,10,43,97.0,37.74873,-122.41545,5850.0,41,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,65,1,40,29,99.0,37.74873,-122.41545,5850.0,34,0,1,0,1,1,0,1,1,0,0,1,0,1,1
1,0,2,1,1,1,4,1,125,1,0,4,100.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,50,1,0,38,99.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,0,1,0,0,0,1,0,1,1
6,2,2,1,1,1,4,1,20,1,0,233,99.0,37.74873,-122.41545,5850.0,49,0,0,0,1,1,0,0,1,0,0,1,1,1,1
12,2,2,1,1,1,4,12,25,2,100,272,99.0,37.74873,-122.41545,5850.0,37,0,1,1,0,1,0,0,0,0,0,1,1,0,1
6,2,2,1,1,1,4,12,30,1,0,73,97.0,37.74873,-122.41545,5850.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,2,3,1,1,1,4,12,150,1,100,45,100.0,37.74873,-122.41545,5850.0,46,0,1,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,75,2,20,135,98.0,37.74873,-122.41545,5850.0,49,0,0,0,0,1,0,1,1,0,0,1,1,0,1
12,2,2,2,1,1,4,1,40,1,25,91,98.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,0,1,1,0,0,1,0,0,1
1,2,2,1,1,1,4,12,50,1,0,47,98.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,2,1,1,1,1,4,1,20,1,20,17,95.0,37.74873,-122.41545,5850.0,18,0,0,0,1,0,0,1,1,0,0,1,0,1,1
1,2,2,1,1,1,4,12,25,1,0,1,100.0,37.74873,-122.41545,5850.0,21,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,3,1,1,1,4,12,200,1,0,8,95.0,37.74873,-122.41545,5850.0,16,0,0,0,0,1,0,1,0,0,0,0,1,0,1
12,2,1,2,1,1,4,1,40,1,25,107,98.0,37.74873,-122.41545,5850.0,32,0,0,1,0,1,0,1,1,0,0,1,0,0,1
8,0,2,1,1,1,4,1,75,2,20,53,99.0,37.74873,-122.41545,5850.0,40,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,1,4,12,300,2,25,8,98.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,0,1,1,0,0,1,1,1,1
8,0,4,1,1,2,4,1,80,2,25,102,98.0,37.74873,-122.41545,5850.0,55,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,1,1,1,1,4,12,0,1,0,4,90.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,0,1,1,0,0,0,0,0,1
12,2,1,1,1,1,4,12,0,1,0,3,100.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,1,1,0,0,0,0,0,1
1,2,3,1,1,1,4,12,0,2,34,272,99.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,19,1,10,74,97.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,0,1,1,0,0,1,1,0,1
8,0,2,1,1,1,4,12,50,1,0,57,100.0,37.74873,-122.41545,5850.0,42,0,1,1,1,1,0,0,1,0,0,1,1,1,1
1,2,2,2,1,1,4,12,0,1,0,100,100.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,0,1,1,0,0,0,0,1,1
12,2,2,1,1,1,4,12,75,2,0,5,100.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,3,1,1,1,4,12,95,1,0,2,70.0,37.74873,-122.41545,5850.0,16,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1,2,6,1,1,5,4,1,140,1,11,8,98.0,37.74873,-122.41545,5850.0,41,1,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,1,1,1,1,4,14,50,1,0,55,100.0,37.74873,-122.41545,5850.0,24,0,0,0,0,1,0,1,1,0,0,0,1,0,1
12,2,2,1,1,1,4,1,19,1,10,139,96.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,3,1,1,1,4,12,200,1,0,1,80.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,3,1,1,1,4,12,200,1,0,1,100.0,37.74873,-122.41545,5850.0,13,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,3,1,1,1,4,12,200,1,0,2,90.0,37.74873,-122.41545,5850.0,16,0,0,0,1,1,0,1,0,0,0,0,1,1,1
13,2,2,1,1,1,4,12,50,1,0,38,99.0,37.74873,-122.41545,5850.0,23,0,0,0,0,1,0,1,1,0,0,1,0,0,1
1,0,2,1,1,1,4,1,100,1,0,37,93.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,1,1,0,0,1,0,1,1
12,2,2,1,1,2,4,12,50,1,0,7,86.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,0,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,100,1,0,25,99.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,2,1,1,1,1,4,12,15,1,0,57,100.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,0,1,1,0,0,1,1,1,1
1,2,1,1,1,1,4,1,70,1,20,77,97.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,2,2,1,1,2,4,12,50,1,0,6,100.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,0,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,44,1,16,102,100.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,1,1,0,0,1,1,1,1
17,2,2,1,1,1,4,1,50,1,0,18,99.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,0,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,12,15,1,20,72,97.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,2,2,1,1,1,4,12,15,1,30,78,98.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,2,2,1,1,1,4,12,100,1,0,78,98.0,37.74873,-122.41545,5850.0,24,0,0,0,0,1,0,0,0,0,0,1,0,0,1
12,2,2,1,1,1,4,1,75,1,20,99,98.0,37.74873,-122.41545,5850.0,17,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,2,2,1,1,1,4,12,55,1,10,89,98.0,37.74873,-122.41545,5850.0,20,0,0,0,0,1,0,0,0,0,0,1,1,0,1
8,0,2,1,1,1,4,1,75,1,35,78,99.0,37.74873,-122.41545,5850.0,31,0,0,0,0,1,0,0,1,0,0,0,1,0,1
8,2,2,1,1,1,4,1,30,1,0,125,99.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,2,1,1,1,4,1,10,1,0,38,94.0,37.74873,-122.41545,5850.0,27,0,0,0,0,1,0,1,1,0,0,1,1,0,1
6,0,3,1,1,1,4,12,125,2,25,29,95.0,37.74873,-122.41545,5850.0,36,0,0,0,0,1,0,1,0,0,0,1,1,0,1
14,2,2,1,1,1,4,12,312,1,20,8,88.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,1,0,0,1,1,1,1
14,2,2,1,1,1,4,12,156,1,20,7,89.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,3,1,1,1,4,1,0,1,10,78,91.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,0,1,1,0,0,1,0,1,1
8,2,3,1,1,2,4,12,45,2,25,43,95.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,0,0,1,0,0,1,1,0,1
12,2,2,1,1,1,4,1,15,1,0,72,99.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,0,0,1,0,0,1,1,0,1
12,2,2,1,1,1,4,12,25,1,0,8,100.0,37.74873,-122.41545,5850.0,23,0,0,0,0,1,0,0,0,0,0,1,1,0,1
12,2,1,1,1,1,4,12,20,1,0,3,100.0,37.74873,-122.41545,5850.0,18,0,0,0,1,1,0,1,0,0,0,1,1,1,1
6,0,2,2,1,1,4,12,200,1,0,1,100.0,37.74873,-122.41545,5850.0,16,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,12,50,1,50,84,100.0,37.74873,-122.41545,5850.0,38,0,0,0,1,1,0,1,1,0,0,1,0,1,1
1,0,3,1,1,1,4,12,95,1,0,1,100.0,37.74873,-122.41545,5850.0,23,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1,2,2,1,1,1,4,1,50,1,25,9,98.0,37.74873,-122.41545,5850.0,30,0,0,0,1,1,0,1,1,0,0,0,1,1,1
12,2,2,1,1,1,4,1,75,1,15,67,97.0,37.74873,-122.41545,5850.0,19,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,0,3,1,1,2,4,12,145,2,15,4,100.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,0,1,1,0,0,1,1,0,1
