property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,rental,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
1,2,1,1,1,1,4,12,50,1,40,10,100.0,37.74873,-122.41545,5850.0,13,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,3,2,1,1,1,2,1,45,1,15,54,90.0,37.74873,-122.41545,5850.0,17,0,0,1,0,1,1,1,0,0,0,0,0,0,1
1,2,2,1,1,1,4,1,50,1,20,1,100.0,37.74873,-122.41545,5850.0,20,0,0,1,0,1,1,1,0,0,0,1,0,0,1
1,0,4,1,1,1,4,1,200,1,0,6,100.0,37.74873,-122.41545,5850.0,35,0,0,0,1,0,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,45,1,0,260,96.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,2,2,1,1,0,4,12,76,1,45,405,93.0,37.74873,-122.41545,5850.0,27,0,0,0,0,1,1,0,0,0,0,1,0,0,1
8,0,2,1,1,2,4,12,50,1,0,264,97.0,37.74873,-122.41545,5850.0,22,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,1,1,0,4,14,50,2,20,21,92.0,37.74873,-122.41545,5850.0,19,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,2,3,1,1,2,4,12,30,1,10,658,98.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,2,2,1,1,1,4,12,30,1,10,665,98.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
13,0,3,1,1,1,4,12,100,1,50,47,97.0,37.74873,-122.41545,5850.0,33,0,0,0,1,0,1,1,1,0,0,1,1,1,1
7,2,2,1,1,1,4,12,40,1,30,105,95.0,37.74873,-122.41545,5850.0,30,0,1,0,1,1,1,1,1,0,0,0,0,1,1
6,2,2,1,1,1,4,12,50,1,0,397,97.0,37.74873,-122.41545,5850.0,33,0,1,0,0,1,1,1,1,0,0,1,1,0,1
17,2,3,1,1,1,4,12,55,1,30,160,98.0,37.74873,-122.41545,5850.0,51,1,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,6,1,1,4,4,5,150,2,15,251,92.0,37.74873,-122.41545,5850.0,50,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,0,4,1,1,2,4,1,100,3,15,84,93.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,1,1,0,0,0,1,1,1,1
1,0,2,1,1,1,4,1,200,1,0,245,99.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
6,2,1,1,1,1,4,12,70,1,75,135,100.0,37.74873,-122.41545,5850.0,58,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,25,1,0,7,97.0,37.74873,-122.41545,5850.0,12,0,0,0,1,1,1,1,0,0,0,0,1,1,1
11,2,2,6,1,1,4,12,60,1,0,4,73.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,3,1,1,1,4,1,70,1,0,139,97.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,2,2,1,1,2,4,12,0,1,35,159,97.0,37.74873,-122.41545,5850.0,32,0,1,0,1,1,0,1,1,0,0,1,0,1,1
1,2,2,0,1,1,4,12,90,1,50,78,97.0,37.74873,-122.41545,5850.0,37,1,0,1,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,20,1,0,292,97.0,37.74873,-122.41545,5850.0,24,0,1,0,0,1,1,1,0,0,0,1,1,0,0
1,0,2,1,1,1,4,1,60,2,0,91,86.0,37.74873,-122.41545,5850.0,30,0,0,0,0,1,1,1,1,0,0,0,1,0,1
8,0,3,1,1,2,4,12,45,1,25,109,97.0,37.74873,-122.41545,5850.0,47,0,0,0,0,1,1,0,1,0,0,1,1,0,1
1,0,2,1,1,2,4,12,80,1,0,49,96.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,2,1,1,1,4,12,55,1,20,31,94.0,37.74873,-122.41545,5850.0,14,0,0,0,1,1,1,1,0,0,0,1,0,1,1
8,2,3,1,1,2,4,1,50,2,30,189,96.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,1,0,1,0,0,1,1,1,1
6,2,2,1,1,1,4,12,60,1,15,96,97.0,37.74873,-122.41545,5850.0,39,0,0,1,1,1,1,1,1,0,0,0,0,1,1
8,0,2,1,1,1,4,1,100,2,50,136,99.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,3,1,1,2,4,12,70,2,25,311,98.0,37.74873,-122.41545,5850.0,42,1,1,0,1,1,0,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,12,129,2,0,305,95.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,0,0,1,0,0,1,1,1,1
13,0,2,1,1,1,4,12,99,1,0,13,91.0,37.74873,-122.41545,5850.0,18,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,2,1,1,1,4,1,150,1,15,8,93.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,0,1,0,0,0,1,1,1,1
8,0,6,1,1,3,4,1,70,2,40,327,92.0,37.74873,-122.41545,5850.0,51,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,2,2,1,1,1,4,12,29,1,0,363,100.0,37.74873,-122.41545,5850.0,36,0,0,0,1,1,1,1,1,0,0,0,0,1,1
1,0,2,1,1,1,4,1,80,2,25,58,99.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,2,1,1,1,4,1,90,2,50,140,100.0,37.74873,-122.41545,5850.0,47,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,0,3,1,1,2,4,12,75,2,25,160,97.0,37.74873,-122.41545,5850.0,33,0,0,0,0,1,1,0,1,0,0,1,1,0,1
12,2,2,1,1,1,4,12,50,2,0,235,98.0,37.74873,-122.41545,5850.0,27,0,0,0,1,1,1,0,1,0,0,0,1,0,1
6,2,1,1,1,1,4,12,70,1,0,24,99.0,37.74873,-122.41545,5850.0,28,0,1,0,0,1,1,1,1,0,0,0,0,1,1
12,2,2,2,1,1,4,12,50,1,0,204,96.0,37.74873,-122.41545,5850.0,30,0,0,0,1,1,0,0,1,0,0,1,0,1,1
8,0,2,1,1,1,4,1,80,1,15,135,99.0,37.74873,-122.41545,5850.0,31,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,1,1,1,0,4,12,70,1,0,28,100.0,37.74873,-122.41545,5850.0,23,0,0,1,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,12,100,1,0,14,100.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,4,1,1,1,4,12,100,4,100,8,100.0,37.74873,-122.41545,5850.0,20,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,2,4,1,1,2,2,12,100,2,15,180,92.0,37.74873,-122.41545,5850.0,26,0,0,1,0,1,1,1,1,0,0,0,1,0,1
