"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"91710","Chino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2525,2595,2525,2536,2550,2625,2500,2500,2500,2500,2600,2600,2650,2600,2550,2600,2650,2550,2550,2600,2625,2650,2650,2672.5,2700,2695,2565,2615,2700,2525,2550
"30127","Powder Springs","GA","Atlanta-Sandy Springs-Roswell","Cobb County",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1550,1550,1525,1572.5,1545,1595,1755,1750,1645,1698.5,1795,1775,1700
"94568","Dublin","CA","San Francisco-Oakland-Hayward","Alameda County",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3765,3697.5,3700,3800,3800,3662.5,3795,3795,3750,3800,3800,3700,3845,3800,3800,3800,3900,3800,3800,3900,3900,3850,3800,3750
"32828","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",64,,,,,,,,1695,1622.5,1395,1395,1495,1500,1600,1647.5,1595,1550,1550,1550,1485,1425,1590,1595,1550,1550,1595,1595,1595,1585,1550,1595,1697.5,1625,1599.5,1600,1625,1595,1595,1550,1595,1600,1625,1597.5,1650,1600,1595,1550,1597.5,1600,1625,1625,1675,1775,1650,1650,1675,1637.5,1625,1637.5,1695,1675,1675,1650,1625,1597.5,1697.5,1695,1650,1650,1685,1650,1650,1724.5,1797.5,1795,1850,1850,1800,1815,1800,1725,1849,1849,1836,1835,1832.5,1850,1995,1937.5,1895,1872.5,1962.5,1972.5,1972.5,1955,1950,1895,1992.5,1880,1985,1925,1950,2100,2022.5,2100,1995
"30253","McDonough","GA","Atlanta-Sandy Springs-Roswell","Henry County",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1400,1409.5,1400,1395,1450,1455,1482.5,1447.5,1445,1427.5,1422.5,1410,1412.5,1450,1475,1550,1550,1582.5,1575,1560,1595,1575,1588,1525,1520,1540,1550,1585,1545,1622.5,1625,1600,1599.5
"30135","Douglasville","GA","Atlanta-Sandy Springs-Roswell","Douglas County",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,1479,1525,1582,1550,1595,1540,1540,1537.5,1475,1400,1475,1500,1499.5,1481.5,1590,1595.5,1645,1607,1547.5,1545,1649,1595,1632.5,1610,1645,1700,1650,1670,1700,1662.5,1690,1615
"89031","North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",67,,,,,1250,1250,1250,1250,1250,1200,1200,1200,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1200,1200,1200,1195,1200,1200,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1300,1295,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1325,1399,1349.5,1320,1300,1325,1300,1325,1349.5,1375,1300,1400,1400,1400,1395,1400,1390,1350,1390,1395,1400,1450,1495,1457.5,1495,1500,1507.5,1500,1500,1550,1550,1550,1570,1595,1597.5,1652.5,1650,1600,1585,1595
"93536","Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155,2100,2100,2125,2072.5,2095,2295,2250,2212.5,2200,2200,2175,2200,2185,2160,2325,2300,2287.5,2262.5,2260
"60615","Chicago","IL","Chicago-Naperville-Elgin","Cook County",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2373,2425,2500,2500,2500,2500,2450,2200,2445,2445,2445,2445,2445,2445,2445,2445,2445,2395,2395,2450,2450,2405
"94509","Antioch","CA","San Francisco-Oakland-Hayward","Contra Costa County",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.5,2250,2200,2200,2200,2350,2295,2350,2212.5,2250,2200,2100,2345,2400,2400,2375,2500,2400,2299,2400,2463,2450,2490,2450,2500,2500,2500,2225,2475,2500,2450,2399,2495,2400
